id,brand,title,price,mrp,discount,category,occasion,fabric,colour,sizes,season,style,age,rating,reviewCount
"415","FabIndia","FabIndia Striped Georgette Shorts for Women","3150","3650","14","Bottom","ethnic","georgette","Black | White | Blush | Red","32 | 34 | 28 | 30 | 36","spring","romantic","teen","4.3","10721"
"416","Gucci","Gucci Flared Knit Skirt for Women","310950","349400","11","Bottom","ethnic","knit","Yellow | Mint | Green | Burgundy | Blush","36 | 34 | 30 | 24 | 26","summer","edgy","young-adult","3.4","10709"
"417","Louis Vuitton","Louis Vuitton Floral Rayon Midi Skirt for Women","54550","58050","6","Bottom","ethnic","rayon","Olive | Burgundy | Coral","30 | 26 | 34 | 24 | 32 | 28","monsoon","preppy","adult","4.3","9047"
"418","Forever 21","Forever 21 Striped Satin Shorts for Women","2800","3150","11","Bottom","ethnic","satin","Green | White | Pink | Peach | Olive","XL | L | XXL | M | XS","autumn","cottagecore","mid-adult","4.4","10795"
"419","H&M","H&M Embroidered Polyester Anarkali for Women","3500","3750","7","Dress","ethnic","polyester","Beige | Blue | Cobalt | Ivory | Mint","L | XS | S | XL | M","winter","k-fashion","mature","3.4","2162"
"420","Zara","Zara Viscose Ruffled Wrap Dress for Women","14900","15700","5","Dress","ethnic","viscose","Coral | Mustard | Burgundy | Black | Peach","L | M | S","all seasons","ethnic","senior","3.9","2727"
"421","Mango","Mango Cotton Bodycon Midi Dress for Women","3850","4450","13","Dress","ethnic","cotton","Black | Burgundy | White","S | L | XS | M | XL | XXL","spring","minimalist","teen","4.2","5498"
"422","Uniqlo","Uniqlo Silk Bodycon Midi Dress for Women","5450","6050","10","Dress","ethnic","silk","Lavender | Blue | Yellow","XS | S | XXL | M","summer","boho","young-adult","3.3","14123"
"423","ONLY","ONLY Printed Linen Shift Dress for Women","4750","5200","9","Dress","ethnic","linen","Lavender | Mint | Blush","M | XXL | XL","monsoon","streetwear","adult","4.7","2448"
"424","BIBA","BIBA Denim Bodycon Midi Dress for Women","11650","12650","8","Dress","ethnic","denim","Beige | Coral | Lavender | Blush | Ivory","L | XXL | M | XL | S","autumn","classic","mid-adult","3.7","11742"
"425","W for Woman","W for Woman Tiered Chiffon Boho Dress for Women","7300","8400","13","Dress","ethnic","chiffon","Teal | Mint","XS | XL | S | L","winter","romantic","mature","3.3","14292"
"426","FabIndia","FabIndia Sequin Velvet Cocktail Dress for Women","15000","15800","5","Dress","ethnic","velvet","Green | Yellow | Ivory | Blush | Pink","XXL | L | XS","all seasons","edgy","senior","4.8","1637"
"427","Gucci","Gucci Embroidered Georgette Anarkali for Women","177950","193400","8","Dress","ethnic","georgette","Teal | Blue | Lavender","M | XS | XXL | S | XL","spring","preppy","teen","3.4","11204"
"428","Louis Vuitton","Louis Vuitton Tiered Knit Boho Dress for Women","384050","408550","6","Dress","ethnic","knit","Pink | Burgundy","M | S | XL | XS | L | XXL","summer","cottagecore","young-adult","4.9","8436"
"429","Forever 21","Forever 21 Rayon Pleated Sundress for Women","950","1000","5","Dress","ethnic","rayon","Beige | Peach | Cobalt | White | Blue","M | L | XXL | S | XL | XS","monsoon","k-fashion","adult","3.4","3345"
"430","H&M","H&M Satin Festival Outfit Set for Women","700","800","13","Ethnic Set","ethnic","satin","Mint | Navy","XL | L | M | S | XS | XXL","autumn","ethnic","mid-adult","4","3438"
"431","Zara","Zara Polyester Salwar Kameez Set for Women","11250","12500","10","Ethnic Set","ethnic","polyester","Black | Blue","S | M | XL | XS | L | XXL","winter","minimalist","mature","4","13824"
"432","Mango","Mango Viscose Gown Style Kurta for Women","1700","1800","5","Ethnic Set","ethnic","viscose","Red | White | Navy | Mustard | Cobalt","L | XS | XL | S | M | XXL","all seasons","boho","senior","4.9","4918"
"433","Uniqlo","Uniqlo Cotton Bridal Lehenga Set for Women","3500","3900","10","Ethnic Set","ethnic","cotton","Teal | Red | Lavender","L | XS | S","spring","streetwear","teen","5","3131"
"434","ONLY","ONLY Silk Festival Outfit Set for Women","7250","7800","7","Ethnic Set","ethnic","silk","Teal | Green","XL | L | XXL | M","summer","classic","young-adult","4.7","11996"
"435","BIBA","BIBA Linen Indo-Western Fusion Set for Women","8350","8800","5","Ethnic Set","ethnic","linen","Pink | Yellow | Olive | Mint | Blue","XL | L | XXL | M | S","monsoon","romantic","adult","4.2","6338"
"436","W for Woman","W for Woman Denim Gown Style Kurta for Women","3100","3500","11","Ethnic Set","ethnic","denim","Cobalt | Peach | Blue | Yellow","XS | S | XL | M | L | XXL","autumn","edgy","mid-adult","3.3","7049"
"437","FabIndia","FabIndia Chiffon Bridal Lehenga Set for Women","2450","2750","11","Ethnic Set","ethnic","chiffon","Mint | Blue | Black | Ivory","XXL | S | XS | M","winter","preppy","mature","4.3","8766"
"438","Gucci","Gucci Velvet Anarkali Suit Set for Women","278350","293000","5","Ethnic Set","ethnic","velvet","Mint | Coral","XS | S | M","all seasons","cottagecore","senior","3.5","14193"
"439","Louis Vuitton","Louis Vuitton Georgette Bridal Lehenga Set for Women","911250","1001350","9","Ethnic Set","ethnic","georgette","Yellow | Coral | Cobalt | Green | Peach","M | S | L","spring","k-fashion","teen","4","832"
"440","Forever 21","Forever 21 Knit Patiala Suit Set for Women","2050","2400","15","Ethnic Set","ethnic","knit","Green | Blue | Olive | Teal | Red","XL | L | M | XXL","summer","ethnic","young-adult","4.4","11052"
"441","H&M","H&M Rayon Cape Jacket for Women","1150","1200","5","Outerwear","ethnic","rayon","Black | Pink | Yellow | White | Ivory","L | Petite | S | M","monsoon","minimalist","adult","3.4","8849"
"442","Zara","Zara Satin Blazer for Women","5100","5750","11","Outerwear","ethnic","satin","Beige | Mint | Cobalt","S | L | Petite | M","autumn","boho","mid-adult","3.4","200"
"443","Mango","Mango Polyester Blazer for Women","16250","17850","9","Outerwear","ethnic","polyester","Navy | Mint | Yellow | Peach | Blush","XS | S | Petite | M","winter","streetwear","mature","4","14783"
"444","Uniqlo","Uniqlo Viscose Cape Jacket for Women","6050","6600","8","Outerwear","ethnic","viscose","Blue | Beige","XXL | S | XL | L","all seasons","classic","senior","3.8","1160"
"445","ONLY","ONLY Cropped Cotton Jacket for Women","6750","7950","15","Outerwear","ethnic","cotton","Beige | Teal | Green","M | S | L | XL | XXL | Plus Size","spring","romantic","teen","4.1","470"
"446","BIBA","BIBA Cropped Silk Jacket for Women","11650","13550","14","Outerwear","ethnic","silk","Lavender | Black | Beige","XS | Plus Size | S | M | XL","summer","edgy","young-adult","4.7","4919"
"447","W for Woman","W for Woman Linen Shrug for Women","6850","7950","14","Outerwear","ethnic","linen","Pink | Mint","M | XS | XXL | L | XL | S | Petite","monsoon","preppy","adult","4.3","5093"
"448","FabIndia","FabIndia Denim Denim Jacket for Women","8450","9950","15","Outerwear","ethnic","denim","Lavender | Beige","XL | XS | S | Petite | M","autumn","cottagecore","mid-adult","3.5","10464"
"449","Gucci","Gucci Chiffon Bomber Jacket for Women","216350","240400","10","Outerwear","ethnic","chiffon","Lavender | Blue","XXL | XS | Petite | L","winter","k-fashion","mature","4.8","113"
"450","Louis Vuitton","Louis Vuitton Velvet Shrug for Women","589250","677300","13","Outerwear","ethnic","velvet","Red | Ivory","L | Petite | Plus Size | XS | XXL | M","all seasons","ethnic","senior","4.5","3173"
"451","Forever 21","Forever 21 Cropped Georgette Jacket for Women","2750","3100","11","Outerwear","ethnic","georgette","Blush | Coral","XXL | XS | Petite | L | XL","spring","minimalist","teen","4.5","13327"
"452","H&M","H&M Printed Knit Romper for Women","2350","2600","10","Jumpsuit","ethnic","knit","White | Blue | Lavender | Olive","Petite | XL | XS | S | XXL","summer","boho","young-adult","4.8","4991"
"453","Zara","Zara Printed Rayon Romper for Women","10400","12100","14","Jumpsuit","ethnic","rayon","Teal | Cobalt | Mint | Green | Burgundy","XS | XXL | S | XL","monsoon","streetwear","adult","3.3","14042"
"454","Mango","Mango Off-Shoulder Satin Jumpsuit for Women","3850","4150","7","Jumpsuit","ethnic","satin","White | Beige","Plus Size | Petite | XL | S | L | XS","autumn","classic","mid-adult","4","3938"
"455","Uniqlo","Uniqlo Off-Shoulder Polyester Jumpsuit for Women","2900","3250","11","Jumpsuit","ethnic","polyester","Beige | Yellow | Mint | Blush | Pink","L | M | XXL | Plus Size | XL | Petite | S","winter","romantic","mature","4.5","9392"
"456","ONLY","ONLY Viscose Strapless Jumpsuit for Women","3200","3500","8","Jumpsuit","ethnic","viscose","Blue | Burgundy","M | L | XL | Plus Size","all seasons","edgy","senior","4.2","6324"
"457","BIBA","BIBA Cotton Belted Jumpsuit for Women","9250","10650","13","Jumpsuit","ethnic","cotton","Mint | Lavender | Black | Green","Petite | XS | XL | S","spring","preppy","teen","4.1","4264"
"458","W for Woman","W for Woman Silk Co-ord Set for Women","4400","4950","11","Jumpsuit","ethnic","silk","Mustard | Olive | Beige","Petite | XS | S | XXL","summer","cottagecore","young-adult","3.6","12242"
"459","FabIndia","FabIndia Off-Shoulder Linen Jumpsuit for Women","950","1100","12","Jumpsuit","ethnic","linen","Teal | Blue | Mustard | Olive","XS | L | XXL | M | Petite | XL","monsoon","k-fashion","adult","4.2","9619"
"460","Gucci","Gucci Ruched Denim Playsuit for Women","454150","488350","7","Jumpsuit","ethnic","denim","Cobalt | Mint | Pink | Peach","Petite | L | S | Plus Size | XL | M | XS","autumn","ethnic","mid-adult","4.8","8659"
"461","Louis Vuitton","Louis Vuitton Chiffon Belted Jumpsuit for Women","206950","224950","8","Jumpsuit","ethnic","chiffon","Mint | Navy","L | M | Petite | S","winter","minimalist","mature","3.3","10389"
"462","Forever 21","Forever 21 Floral Velvet Playsuit for Women","700","800","15","Jumpsuit","ethnic","velvet","Olive | Blue","XS | S | M | L | XL | Plus Size | XXL","all seasons","boho","senior","3.3","2944"
"463","H&M","H&M Georgette Smocked Top for Women","650","750","15","Top","casual","georgette","Teal | Blue | Black","L | XS | XXL | M | XL | Petite","spring","streetwear","teen","4.3","10185"
"464","Zara","Zara Knit Halter Neck Top for Women","14300","15900","10","Top","casual","knit","Mustard | Yellow","XS | S | Petite | M | L | Plus Size | XL","summer","classic","young-adult","4.7","3523"
"465","Mango","Mango Polka Dot Rayon Blouse for Women","2800","3200","13","Top","casual","rayon","Red | Yellow | White | Burgundy | Navy","L | M | S | XL","monsoon","romantic","adult","3.5","2503"
"466","Uniqlo","Uniqlo Satin Cold Shoulder Top for Women","1600","1750","9","Top","casual","satin","Lavender | Beige","S | Petite | Plus Size | XS | L | M","autumn","edgy","mid-adult","4.2","9536"
"467","ONLY","ONLY Cutout Detail Polyester Top for Women","3350","3750","11","Top","casual","polyester","Beige | White | Black | Pink | Green","L | M | Petite | XL | XXL","winter","preppy","mature","4","14105"
"468","BIBA","BIBA Tie-Dye Viscose Tank Top for Women","8650","9400","8","Top","casual","viscose","Olive | Navy | Beige | Yellow","XS | S | Plus Size | M | XL | XXL | L","all seasons","cottagecore","senior","4.2","10224"
"469","W for Woman","W for Woman Sheer Cotton Overlay Top for Women","5350","6000","11","Top","casual","cotton","Red | Teal","XS | S | M | L | Plus Size","spring","k-fashion","teen","3.3","2752"
"470","FabIndia","FabIndia Silk Cold Shoulder Top for Women","10350","12050","14","Top","casual","silk","Black | Teal","L | XS | S | Petite | XXL | M","summer","ethnic","young-adult","4.2","12800"
"471","Gucci","Gucci Linen Peplum Top for Women","492600","572800","14","Top","casual","linen","Green | Ivory | Coral | Cobalt","L | M | S | Petite | XL","monsoon","minimalist","adult","4.4","9165"
"472","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","245850","279400","12","Top","casual","denim","Teal | Lavender","XXL | Plus Size | XL | XS | L","autumn","boho","mid-adult","3.7","12319"
"473","Forever 21","Forever 21 Printed Chiffon Casual Top for Women","1900","2100","9","Top","casual","chiffon","Mint | Olive | Black","L | XS | XL | S | Plus Size | Petite","winter","streetwear","mature","3.7","2859"
"474","H&M","H&M Striped Velvet Shorts for Women","6300","6850","8","Bottom","casual","velvet","Navy | Black | Pink | White | Beige","30 | 32 | 24 | 28","all seasons","classic","senior","4.6","3960"
"475","Zara","Zara Georgette Cargo Pants for Women","7700","8350","8","Bottom","casual","georgette","Olive | Blue | Black | Burgundy","36 | 24 | 26 | 32 | 28","spring","romantic","teen","4.1","4614"
"476","Mango","Mango Knit Layered Skirt for Women","16350","18150","10","Bottom","casual","knit","Mint | Coral | Pink | Olive | Navy","34 | 36 | 32 | 30 | 28","summer","edgy","young-adult","4.7","14989"
"477","Uniqlo","Uniqlo Rayon High-Slit Maxi Skirt for Women","4650","5400","14","Bottom","casual","rayon","Yellow | Coral","XS | L | XXL | XL","monsoon","preppy","adult","3.7","14271"
"478","ONLY","ONLY Pleated Satin Mini Skirt for Women","2200","2350","7","Bottom","casual","satin","Burgundy | Mint | Olive | Blue | Teal","30 | 34 | 24 | 26","autumn","cottagecore","mid-adult","3.9","5988"
"479","BIBA","BIBA High-Rise Polyester Jeans for Women","6050","6350","5","Bottom","casual","polyester","Teal | Black | Mustard","24 | 26 | 36 | 30","winter","k-fashion","mature","3.7","14014"
"480","W for Woman","W for Woman Viscose Pencil Skirt for Women","5200","5550","6","Bottom","casual","viscose","Black | Blue | Burgundy | Navy | Blush","24 | 26 | 32 | 28","all seasons","ethnic","senior","4.4","5921"
"481","FabIndia","FabIndia Cotton Pencil Skirt for Women","7400","8200","10","Bottom","casual","cotton","Mustard | Black | Peach | Burgundy","S | XL | XXL | M | XS | L","spring","minimalist","teen","4.1","13262"
"482","Gucci","Gucci Flared Silk Skirt for Women","360500","396150","9","Bottom","casual","silk","Navy | Beige | Pink","XL | XS | S | XXL | M","summer","boho","young-adult","4.8","11328"
"483","Louis Vuitton","Louis Vuitton Linen Wide-Leg Trousers for Women","504700","580100","13","Bottom","casual","linen","Beige | Cobalt | Black | Peach | Teal","S | L | XL | XS | XXL","monsoon","streetwear","adult","4","13895"
"484","Forever 21","Forever 21 Ethnic Denim Patiala for Women","2850","3300","14","Bottom","casual","denim","Burgundy | White | Cobalt | Mustard","32 | 24 | 36 | 26 | 28 | 30","autumn","classic","mid-adult","3.4","1140"
"485","H&M","H&M Chiffon Shirt Dress for Women","600","700","13","Dress","casual","chiffon","Burgundy | Ivory | Mint","XS | XXL | S | L | XL | M","winter","romantic","mature","4.8","5053"
"486","Zara","Zara Floral Velvet Maxi Dress for Women","13200","13900","5","Dress","casual","velvet","Peach | Black","XS | L | XXL","all seasons","edgy","senior","4.4","6378"
"487","Mango","Mango Off-Shoulder Georgette Mini Dress for Women","7200","8450","15","Dress","casual","georgette","White | Yellow","M | S | XL | XXL | L | XS","spring","preppy","teen","3.6","10787"
"488","Uniqlo","Uniqlo Knit Asymmetric Hem Dress for Women","6400","7200","11","Dress","casual","knit","Green | Coral | Blue","XS | S | M","summer","cottagecore","young-adult","4.2","417"
"489","ONLY","ONLY Floral Rayon Maxi Dress for Women","2350","2600","10","Dress","casual","rayon","Blue | Yellow","L | XS | S | M | XL | XXL","monsoon","k-fashion","adult","3.9","7490"
"490","BIBA","BIBA Ruched Satin Evening Dress for Women","1650","1850","11","Dress","casual","satin","Red | Yellow","XS | S | XXL","autumn","ethnic","mid-adult","3.8","12143"
"491","W for Woman","W for Woman Floral Polyester Maxi Dress for Women","2150","2300","6","Dress","casual","polyester","Red | Navy | Lavender","XXL | L | S | XS","winter","minimalist","mature","3.3","148"
"492","FabIndia","FabIndia Viscose A-Line Party Dress for Women","3000","3400","12","Dress","casual","viscose","Ivory | Coral | Mint | Black | Beige","L | XL | XS | S | XXL","all seasons","boho","senior","4.1","11794"
"493","Gucci","Gucci Wrap Cotton Dress for Women","104650","116300","10","Dress","casual","cotton","Blush | Coral | Black | Ivory","XS | XXL | S | M | L | XL","spring","streetwear","teen","4","9122"
"494","Louis Vuitton","Louis Vuitton Silk Slip-On Maxi Dress for Women","187000","196850","5","Dress","casual","silk","Navy | Coral","L | M | XL | S","summer","classic","young-adult","4","12571"
"495","Forever 21","Forever 21 Linen Asymmetric Hem Dress for Women","1150","1300","10","Dress","casual","linen","Peach | Olive | Blush","XXL | XL | L | M","monsoon","romantic","adult","4.7","9672"
"496","H&M","H&M Denim Sharara Set for Women","6650","7650","13","Ethnic Set","casual","denim","Green | Black | Lavender | Coral | Cobalt","L | XS | S | XXL","autumn","edgy","mid-adult","4.8","11963"
"497","Zara","Zara Chiffon Patiala Suit Set for Women","13350","15000","11","Ethnic Set","casual","chiffon","Mint | Olive","XS | S | XXL | XL | M","winter","preppy","mature","3.6","9575"
"498","Mango","Mango Velvet Straight Kurta with Dupatta for Women","15850","17800","11","Ethnic Set","casual","velvet","Teal | Burgundy","M | S | XXL | XS | L","all seasons","cottagecore","senior","3.3","4924"
"499","Uniqlo","Uniqlo Georgette Straight Kurta with Dupatta for Women","5000","5400","7","Ethnic Set","casual","georgette","Yellow | Pink | Green | Navy","XL | L | XS","spring","k-fashion","teen","4","5579"
"500","ONLY","ONLY Knit Saree with Blouse for Women","3150","3550","11","Ethnic Set","casual","knit","Yellow | Pink | Ivory","L | XS | XL | S | M | XXL","summer","ethnic","young-adult","3.9","7147"
